id,anomalous_pix_perc,cloud_cover,origin_x,origin_y,acquired,strip_id\n
20191027_162547_0e3a,0,0,612642,4451961,2019-10-27T16:25:47.88011Z,2786764
20191027_162548_0e3a,0,0,611040,4444512,2019-10-27T16:25:48.950707Z,2786764
20191027_162550_0e3a,0,0,609444,4437060,2019-10-27T16:25:50.020779Z,2786764
20191027_162551_0e3a,0,0,607869,4429641,2019-10-27T16:25:51.091375Z,2786764
20191027_162552_0e3a,0,0,606318,4422198,2019-10-27T16:25:52.161447Z,2786764
20191029_164715_75_1062,0,0.22,654360,4464801,2019-10-29T16:47:15.754479Z,2793184
20191101_163358_1035,0,0.17,646977,4458417,2019-11-01T16:33:58.396574Z,2801899
20191101_163359_1035,0,0.22,645456,4451139,2019-11-01T16:33:59.43781Z,2801899
20191101_163400_1035,0,0.24,643944,4443840,2019-11-01T16:34:00.478522Z,2801899
20191101_163401_1035,0,0.16,642468,4436547,2019-11-01T16:34:01.519235Z,2801899
20191101_163402_1035,0,0.18,640956,4429284,2019-11-01T16:34:02.560471Z,2801899
20191101_163403_1035,0,0.1,639423,4422072,2019-11-01T16:34:03.601182Z,2801899
20191101_163404_1035,0,0.02,637920,4414887,2019-11-01T16:34:04.642418Z,2801899
20191101_163405_1035,0,0,636453,4407651,2019-11-01T16:34:05.68313Z,2801899
20191008_150654_1_100d,0.01,0,622308,4403049,2019-10-08T15:06:54.997426Z,2735865
20191008_150658_100d,0.01,0,616272,4429524,2019-10-08T15:06:58.779639Z,2735865
20191008_150854_0f2e,0.01,0,662151,4431138,2019-10-08T15:08:54.59702Z,2736002
20191008_150855_0f2e,0.01,0,660483,4437873,2019-10-08T15:08:55.5565Z,2736002
20191008_150858_0f2e,0.01,0,655347,4458141,2019-10-08T15:08:58.43494Z,2736002
20191008_163127_1014,0.01,0,653424,4422156,2019-10-08T16:31:27.387244Z,2735656
20191008_163129_1014,0.01,0,650601,4407618,2019-10-08T16:31:29.450317Z,2735656
20191009_163122_1003,0,0.02,643146,4455450,2019-10-09T16:31:22.059941Z,2738534
20191009_164735_99_106d,0,0.02,662136,4464711,2019-10-09T16:47:35.999022Z,2738510
20191012_150712_1049,0,0,632181,4434984,2019-10-12T15:07:12.833579Z,2744868
20191012_150713_1049,0.01,0,630639,4441644,2019-10-12T15:07:13.774151Z,2744868
20191012_150716_1049,0,0,626115,4461426,2019-10-12T15:07:16.597442Z,2744868
20191012_161854_0e26,0,0,639360,4449849,2019-10-12T16:18:54.931275Z,2745302
20191012_161855_0e26,0,0,637890,4442493,2019-10-12T16:18:55.985618Z,2745302
20191012_162952_1035,0,0,663114,4425690,2019-10-12T16:29:52.677243Z,2745044
20191012_162954_1035,0,0,660333,4411173,2019-10-12T16:29:54.740841Z,2745044
20191013_164837_82_1057,0,0.02,637089,4472256,2019-10-13T16:48:37.821927Z,2747725
20191014_150705_0f33,0,0,633540,4429416,2019-10-14T15:07:05.288844Z,2750140
20191014_150709_0f33,0,0,627450,4455882,2019-10-14T15:07:09.030687Z,2750140
20191014_150709_1_0f33,0,0,625962,4462464,2019-10-14T15:07:09.966017Z,2750140
20191014_163231_101e,0,0,666975,4443141,2019-10-14T16:32:31.519165Z,2750289
20191015_150702_0f2a,0,0.02,628422,4449270,2019-10-15T15:07:02.156183Z,2753900
20191017_150631_104e,0.01,0,676452,4409868,2019-10-17T15:06:31.703043Z,2758888
20191017_150639_104e,0.01,0,664332,4462362,2019-10-17T15:06:39.184633Z,2758888
20191017_163348_1003,0,0,622851,4423032,2019-10-17T16:33:48.517484Z,2759452
20191018_163051_1038,0,0.15,636324,4427625,2019-10-18T16:30:51.098027Z,2761532
20191018_163348_101e,0,0.12,611031,4420218,2019-10-18T16:33:48.765647Z,2761528
20191018_165025_28_106f,0,0.02,599457,4455966,2019-10-18T16:50:25.287374Z,2762782
20191019_164954_48_105c,0,0.12,666819,4458219,2019-10-19T16:49:54.483885Z,2764433
20191020_165140_96_1058,0,0.03,625677,4417197,2019-10-20T16:51:40.965874Z,2767030
20191021_163200_0f35,0.01,0,674094,4420128,2019-10-21T16:32:00.600709Z,2770298
20191021_165135_38_1064,0,0.03,621957,4408197,2019-10-21T16:51:35.383729Z,2769805
20191022_164723_56_106e,0,0.04,673323,4440498,2019-10-22T16:47:23.569603Z,2773553
20191025_163520_101f,0,0.25,609297,4434561,2019-10-25T16:35:20.637553Z,2782685
